prompt,source,category
"Today, Anthony went to the dance studio. Between what times could they have gone?
We know that:
Anthony woke up at 8am.
William saw Anthony driving to the water park from 10am to 12pm.
David saw Anthony sitting on a rooftop from 12pm to 1pm.
Richard saw Anthony buying a phone at the electronics store from 1pm to 4pm.
The dance studio was closed after 4pm.
Between what times could Anthony have gone to the dance studio?
Options:
(A) 12pm to 1pm
(B) 1pm to 4pm
(C) 8am to 10am
(D) 10am to 12pm",bbh,reasoning
"
def count_up_to(n):
    """"""Implement a function that takes an non-negative integer and returns an array of the first n
    integers that are prime numbers and less than n.
    for example:
    count_up_to(5) => [2,3]
    count_up_to(11) => [2,3,5,7]
    count_up_to(0) => []
    count_up_to(20) => [2,3,5,7,11,13,17,19]
    count_up_to(1) => []
    count_up_to(18) => [2,3,5,7,11,13,17]
    """"""
",humaneval,coding
"While SEO is the foundation of how your website shows up on search engines, enabling customers to find you online, it’s a futile effort without unique, quality, relevant content development. Specialized, unique content – delivered on a consistent and continual basis – gives search engines what they crave. Simply stated, search engines (Google, Yahoo!, Bing, Ask, etc.) are striving to deliver the best search results to their own clients: the world of information seekers.
By deploying search engine and content optimization, you’ll enjoy harvesting traffic from top search engines and social media sites.
While you’re busy focusing on your business operations, we’re busy focusing on the world of web marketing. <atitle=”Contact Us” href=”/contact-k-kom-marketing/”>Let’s talk about the opportunities to better grow your business!
Which media do my customers use most? Ie. Where do they spend time online?
Which search tools do my customers use?
What keywords do people use?
What future technologies, devices, or search tools should I prepare for? Based on the passage above, How can I determine the media and search tools that my customers use the most, and what keywords are they likely to use to find my business online?",ultrachat,chat
"Today, Sarah went to the amusement park. Between what times could they have gone?
We know that:
Sarah woke up at 10am.
Anthony saw Sarah getting a coffee at the cafe from 11am to 12pm.
Andrew saw Sarah buying a phone at the electronics store from 12pm to 2pm.
Kimberly saw Sarah driving to the water park from 2pm to 7pm.
Sarah saw Sarah attending class at the school from 7pm to 8pm.
Jennifer saw Sarah watching a movie at the theater from 8pm to 10pm.
The amusement park was closed after 10pm.
Between what times could Sarah have gone to the amusement park?
Options:
(A) 2pm to 7pm
(B) 12pm to 2pm
(C) 10am to 11am
(D) 7pm to 8pm",bbh,reasoning
"Today, James went to the dance studio. Between what times could they have gone?
We know that:
James woke up at 7am.
Thomas saw James taking photos near the Eiffel Tower from 7am to 12pm.
Mark saw James driving to the water park from 12pm to 2pm.
Anthony saw James buying a phone at the electronics store from 2pm to 4pm.
Sarah saw James buying lunch at the deli from 5pm to 6pm.
The dance studio was closed after 6pm.
Between what times could James have gone to the dance studio?
Options:
(A) 2pm to 4pm
(B) 7am to 12pm
(C) 4pm to 5pm
(D) 12pm to 2pm",bbh,reasoning
"

def modp(n: int, p: int):
    """"""Return 2^n modulo p (be aware of numerics).
    >>> modp(3, 5)
    3
    >>> modp(1101, 101)
    2
    >>> modp(0, 101)
    1
    >>> modp(3, 11)
    8
    >>> modp(100, 101)
    1
    """"""
",humaneval,coding
Write a python function to count occurences of a character in a repeated string.,mbpp,coding
Write a function to locate the left insertion point for a specified value in sorted order.,mbpp,coding
"Today, Mark went to the bookstore. Between what times could they have gone?
We know that:
Mark woke up at 5am.
Mary saw Mark stretching at a yoga studio from 5am to 10am.
Betty saw Mark attending class at the school from 10am to 5pm.
Emily saw Mark sitting on a rooftop from 5pm to 8pm.
Jessica saw Mark walking in the garden from 9pm to 10pm.
The bookstore was closed after 10pm.
Between what times could Mark have gone to the bookstore?
Options:
(A) 8pm to 9pm
(B) 9pm to 10pm
(C) 5pm to 8pm
(D) 10am to 5pm",bbh,reasoning
"Today, Sarah went to the market. Between what times could they have gone?
We know that:
Sarah woke up at 6am.
James saw Sarah taking photos near the Eiffel Tower from 6am to 10am.
Betty saw Sarah buying cookies at a bakery from 10am to 12pm.
William saw Sarah walking in the garden from 12pm to 1pm.
John saw Sarah working at the office from 1pm to 2pm.
Steven saw Sarah driving to the water park from 6pm to 7pm.
The market was closed after 7pm.
Between what times could Sarah have gone to the market?
Options:
(A) 6pm to 7pm
(B) 1pm to 2pm
(C) 10am to 12pm
(D) 2pm to 6pm",bbh,reasoning
How can I improve my sleep quality naturally without resorting to prescription sleep aids?,ultrachat,chat
"Today, Jessica went to the restaurant. Between what times could they have gone?
We know that:
Jessica woke up at 3pm.
Mary saw Jessica driving to the water park from 3pm to 4pm.
Lisa saw Jessica walking towards the Statue of Liberty from 4pm to 5pm.
Leslie saw Jessica taking photos near the Leaning Tower of Pisa from 7pm to 10pm.
The restaurant was closed after 10pm.
Between what times could Jessica have gone to the restaurant?
Options:
(A) 7pm to 10pm
(B) 4pm to 5pm
(C) 3pm to 4pm
(D) 5pm to 7pm",bbh,reasoning
"
def words_string(s):
    """"""
    You will be given a string of words separated by commas or spaces. Your task is
    to split the string into words and return an array of the words.
    
    For example:
    words_string(""Hi, my name is John"") == [""Hi"", ""my"", ""name"", ""is"", ""John""]
    words_string(""One, two, three, four, five, six"") == [""One"", ""two"", ""three"", ""four"", ""five"", ""six""]
    """"""
",humaneval,coding
"James dumps his whole collection of 500 Legos on the floor and starts building a castle out of them.  He uses half the pieces before finishing and is told to put the rest away.  He puts all of the leftover pieces back in the box they came from, except for 5 missing pieces that he can't find.  How many Legos are in the box at the end?",gsm8k,math
"

def skjkasdkd(lst):
    """"""You are given a list of integers.
    You need to find the largest prime value and return the sum of its digits.

    Examples:
    For lst = [0,3,2,1,3,5,7,4,5,5,5,2,181,32,4,32,3,2,32,324,4,3] the output should be 10
    For lst = [1,0,1,8,2,4597,2,1,3,40,1,2,1,2,4,2,5,1] the output should be 25
    For lst = [1,3,1,32,5107,34,83278,109,163,23,2323,32,30,1,9,3] the output should be 13
    For lst = [0,724,32,71,99,32,6,0,5,91,83,0,5,6] the output should be 11
    For lst = [0,81,12,3,1,21] the output should be 3
    For lst = [0,8,1,2,1,7] the output should be 7
    """"""
",humaneval,coding
"Add sweet raisins and coconut to rice for the kids or the whole family. The combination?…I will leave you to give your verdict again after you have made it.
Watch me debone the fish perfectly to add to this curry couscous for kids. It is very important to debone fish before adding to kids meal because of choking hazards.
Do you know your leftover white rice or bulgur can be turned into an amazing meal for the kids? Take a look at this.
Rice pudding is one of the first homemade solid foods that I introduced to my babies. I loved making this pudding because rice is always available and you cannot go wrong with it.
Fish…fish…fish is always a good nutrition for baby and children, even we adults. Make the most of it in this simple meal idea. What is the benefit of deboning fish before adding it to a meal for kids?",ultrachat,chat
"Dato’ Tony Fernandez was the entrepreneur that brought up AirAsia to be the one of the award wining the largest low fare airlines that is currently well known for now in Asia. Since then it has been flying to over 61 domestic and international destination with 108 routes, and furthermore it operates over 400 flights daily from hubs that are basically located in Malaysia, Thailand and Indonesia.
With the introduction of the ‘no frills’ concept to the Malaysian market, AirAsia has proven this theory wrong and goes from strength to strength by actually increasing the size of the market and more recently by taking away passengers from the major airline competitors. With its expending strategy as objectives to reach excellent standard around the world, marketing in Asia has been the key player to achieve success.
AirAsia is one of the business that have successfully adopted cost leadership through operational effectiveness and efficiency. The cost advantages have enabled AirAsia to become the Asia’s leading low fare airline. AirAsia has successfully positioned itself in customer’s mind. Its net profit for the second quarter ending 31 December 2004 was reported RM 44.4 million, a 323% increase over the previous quarter. AirAsia until today has flown more than 55 million passengers in and around Asia. AirAsia has also ventured into other market that complemets with the airlines business. It has started franchises like the tunes hotels and red box couriers to gain maximum efficiency in and around the airline business. Based on the passage above, What was the net profit reported by AirAsia in the second quarter of 2004 and how has it impacted its business growth and customer perception?",ultrachat,chat
"Today, Jennifer went to the restaurant. Between what times could they have gone?
We know that:
Jennifer woke up at 6am.
Mary saw Jennifer driving to the water park from 6am to 11am.
Sarah saw Jennifer reading at the library from 1pm to 5pm.
David saw Jennifer stretching at a yoga studio from 5pm to 6pm.
Michael saw Jennifer watching a movie at the theater from 6pm to 10pm.
The restaurant was closed after 10pm.
Between what times could Jennifer have gone to the restaurant?
Options:
(A) 1pm to 5pm
(B) 11am to 1pm
(C) 6am to 11am
(D) 5pm to 6pm",bbh,reasoning
Write a function to find maximum of two numbers.,mbpp,coding
Write a fairy tale about a princess who must save her kingdom from an evil sorcerer.,ultrachat,chat
John's car gets 30 mpg.  He drives 20 miles to work each way 5 days a week.  He also drives another 40 miles a week for leisure travel. How many gallons of gas does he use a week?,gsm8k,math
Write a python function to find the sum of fifth power of n natural numbers.,mbpp,coding
"

def fib(n: int):
    """"""Return n-th Fibonacci number.
    >>> fib(10)
    55
    >>> fib(1)
    1
    >>> fib(8)
    21
    """"""
",humaneval,coding
Write a function to remove multiple spaces in a string.,mbpp,coding
"from typing import List


def concatenate(strings: List[str]) -> str:
    """""" Concatenate list of strings into a single string
    >>> concatenate([])
    ''
    >>> concatenate(['a', 'b', 'c'])
    'abc'
    """"""
",humaneval,coding
"Willy has 10 stuffed animals. His mom gives him 2 more stuffed animals for his birthday. After his birthday, if his dad gives him 3 times more stuffed animals than he has, how many stuffed animals does Willy have in total?",gsm8k,math
"The event won the first prize in the Public Event category at BEA World. It was a five-day festival to celebrate science and innovation, putting the 'scientists of tomorrow' in touch with the future of energy and technology through educational challenges and interactive activities. The Generation Discover Festival 2017 won the first prize in the Public Event category at BEA World Awards. The event's second edition included countless activities, scientific experiments and workshops for the little ones, creating the cities of the future, building a two-metres high robot, addressing topics such as cybercrime, among other initiatives. Learning by doing, a seriously taken motto at this festival. The Generation Discover Festival 2017, held in Malieveld, The Hague, had more than 30,000 visitors, including ten thousand students from 180 schools. Thanks to this event, which raised awareness and pointed to the future, the number of children considering a technical and scientific career increased by 36% after the festival, the organisation informed. Based on the passage above, How did the Generation Discover Festival 2017 aim to promote science and innovation among young people, and what initiatives did it include to achieve this goal?",ultrachat,chat
"A local music festival is held every year for three days.  The three day attendance this year was 2700 people.  The second day was rainy so only half the number of people that showed up the first day showed up the second day.  The third day was the finale, so attendance was triple the original day.  How many people attended the second day of the festival?",gsm8k,math
"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return the area of
    the triangle rounded to 2 decimal points if the three sides form a valid triangle. 
    Otherwise return -1
    Three sides make a valid triangle when the sum of any two sides is greater 
    than the third side.
    Example:
    triangle_area(3, 4, 5) == 6.00
    triangle_area(1, 2, 10) == -1
    '''
",humaneval,coding
Write a function to find the maximum value in record list as tuple attribute in the given tuple list.,mbpp,coding
"from typing import List


def factorize(n: int) -> List[int]:
    """""" Return list of prime factors of given integer in the order from smallest to largest.
    Each of the factors should be listed number of times corresponding to how many times it appeares in factorization.
    Input number should be equal to the product of all factors
    >>> factorize(8)
    [2, 2, 2]
    >>> factorize(25)
    [5, 5]
    >>> factorize(70)
    [2, 5, 7]
    """"""
",humaneval,coding
Write a function to add all the numbers in a list and divide it with the length of the list.,mbpp,coding
Write a function to check whether the given month number contains 30 days or not.,mbpp,coding
"The trip from Philip's house to the children's school is 2.5 miles, and the trip to the market is 2 miles. He makes the round trip to school two times (when taking the children to school and when bringing them back) every day for 4 days a week. Then he makes a round trip to the market once during weekends. What is his car's mileage for a typical week?",gsm8k,math
Investigate the role of home ownership in modern society.,ultrachat,chat
Write a python function to print duplicants from a list of integers.,mbpp,coding
Write a function to find the median of two sorted arrays of same size.,mbpp,coding
"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
",humaneval,coding
"Today, William went to the basketball court. Between what times could they have gone?
We know that:
William woke up at 7am.
Lisa saw William stretching at a yoga studio from 11am to 2pm.
John saw William walking towards the Statue of Liberty from 2pm to 3pm.
Sean saw William reading at the library from 3pm to 5pm.
Sarah saw William driving to the water park from 5pm to 9pm.
The basketball court was closed after 9pm.
Between what times could William have gone to the basketball court?
Options:
(A) 5pm to 9pm
(B) 3pm to 5pm
(C) 7am to 11am
(D) 11am to 2pm",bbh,reasoning
The Chrysler Building has 11 more floors than the Leeward Center. Together they have a total of 35 floors. How many floors does the Chrysler Building have?,gsm8k,math
"Joan is answering English and Math exams with 30 and 15 questions, respectively. The English exam is to be completed in 1 hour and the Math exam in 1.5 hours. If Joan wants to spend an equal amount of time on each question, how many more minutes does she have in answering each question on the Math exam than the English exam?",gsm8k,math
Dennis collected 10 rocks. He put all of them in his aquarium but his fish ate half of them. He was able to make the fish spit two out. How many of Dennis's rocks are left?,gsm8k,math
"
def count_upper(s):
    """"""
    Given a string s, count the number of uppercase vowels in even indices.
    
    For example:
    count_upper('aBCdEf') returns 1
    count_upper('abcdefg') returns 0
    count_upper('dBBE') returns 0
    """"""
",humaneval,coding
Explain the principles of artificial gravity in space.,ultrachat,chat
"Today, Samantha went to the movies. Between what times could they have gone?
We know that:
Samantha woke up at 5am.
Lisa saw Samantha driving to the water park from 8am to 12pm.
Mary saw Samantha walking in the garden from 12pm to 4pm.
Samantha saw Samantha reading at the library from 4pm to 6pm.
The movies was closed after 6pm.
Between what times could Samantha have gone to the movies?
Options:
(A) 8am to 12pm
(B) 4pm to 6pm
(C) 5am to 8am
(D) 12pm to 4pm",bbh,reasoning
"Today, Emily went to the orchestra hall. Between what times could they have gone?
We know that:
Emily woke up at 5am.
Linda saw Emily waiting at the airport from 5am to 6am.
David saw Emily buying cookies at a bakery from 2pm to 7pm.
Michael saw Emily buying clothes at the mall from 7pm to 8pm.
Thomas saw Emily working out at the gym from 8pm to 10pm.
The orchestra hall was closed after 10pm.
Between what times could Emily have gone to the orchestra hall?
Options:
(A) 5am to 6am
(B) 2pm to 7pm
(C) 8pm to 10pm
(D) 6am to 2pm",bbh,reasoning
"In the jar, there are 7 blue marbles, 11 red marbles, and some yellow marbles. If the chance of randomly picking a yellow marble is 1/4, how many yellow marbles are there?",gsm8k,math
"

def prime_fib(n: int):
    """"""
    prime_fib returns n-th number that is a Fibonacci number and it's also prime.
    >>> prime_fib(1)
    2
    >>> prime_fib(2)
    3
    >>> prime_fib(3)
    5
    >>> prime_fib(4)
    13
    >>> prime_fib(5)
    89
    """"""
",humaneval,coding
"Today, Samantha went to the market. Between what times could they have gone?
We know that:
Samantha woke up at 5am.
Sarah saw Samantha working at the office from 5am to 11am.
Ashley saw Samantha buying a phone at the electronics store from 11am to 1pm.
Leslie saw Samantha fixing their computer at the electronic store from 5pm to 8pm.
The market was closed after 8pm.
Between what times could Samantha have gone to the market?
Options:
(A) 5am to 11am
(B) 5pm to 8pm
(C) 11am to 1pm
(D) 1pm to 5pm",bbh,reasoning
Write a function to solve the fibonacci sequence using recursion.,mbpp,coding
"
def tri(n):
    """"""Everyone knows Fibonacci sequence, it was studied deeply by mathematicians in 
    the last couple centuries. However, what people don't know is Tribonacci sequence.
    Tribonacci sequence is defined by the recurrence:
    tri(1) = 3
    tri(n) = 1 + n / 2, if n is even.
    tri(n) =  tri(n - 1) + tri(n - 2) + tri(n + 1), if n is odd.
    For example:
    tri(2) = 1 + (2 / 2) = 2
    tri(4) = 3
    tri(3) = tri(2) + tri(1) + tri(4)
           = 2 + 3 + 3 = 8 
    You are given a non-negative integer number n, you have to a return a list of the 
    first n + 1 numbers of the Tribonacci sequence.
    Examples:
    tri(3) = [1, 3, 2, 8]
    """"""
",humaneval,coding
"
def do_algebra(operator, operand):
    """"""
    Given two lists operator, and operand. The first list has basic algebra operations, and 
    the second list is a list of integers. Use the two given lists to build the algebric 
    expression and return the evaluation of this expression.

    The basic algebra operations:
    Addition ( + ) 
    Subtraction ( - ) 
    Multiplication ( * ) 
    Floor division ( // ) 
    Exponentiation ( ** ) 

    Example:
    operator['+', '*', '-']
    array = [2, 3, 4, 5]
    result = 2 + 3 * 4 - 5
    => result = 9

    Note:
        The length of operator list is equal to the length of operand list minus one.
        Operand is a list of of non-negative integers.
        Operator list has at least one operator, and operand list has at least two operands.

    """"""
",humaneval,coding
"In order to understand how to write a descriptive essay, it is necessary to know that the main purpose of such a paper is to create a lucid image of a person, object, place, etc. There is a clear distinction between a descriptive essay and a narrative one. While the former tells a story with the aim of conveying the main idea, the latter deciphers the author’s message through the vivid portrayal of the discussed issue. When producing a descriptive essay, one needs to use different literary devices and language means to engage readers.
What is a descriptive essay? This question often bothers those who have to write such a paper. It should be noted that preparing a descriptive piece of writing is a great chance for students to fully express their creativity. You are free to use epithets, comparisons, metaphors, etc., to make your text impressive.
Mind that creating a good descriptive essay requires possessing superior writing skills. You need to arouse readers’ strong emotions so that they can clearly imagine what you are depicting.
One of the main features of a descriptive essay is subjectivity. Thus, you can openly express your opinion about the examined subject. This is you who determine the direction of your paper. You should help readers understand that it is worth being aware of the analyzed subject. Moreover, when writing the paper, do not be afraid to be imaginative. Develop your topic in the way you want. Nevertheless, the main rules of writing academic papers should not be neglected. Your essay has to be written in formal language. Furthermore, it is necessary to examine the subject in detail before writing an essay. The next step is to create a clear outline that will help you thoroughly discuss each point of the paper. By the way, you should know that there are many helpful descriptive essay writing prompts which you should use when creating your work. Thus, you will learn to write a superb paper. You can find out more about writing descriptive essays in our article ""Tips on Writing a Descriptive Essay""
If you find creating a descriptive essay a real problem and cannot write even a few sentences, you should ask qualified professionals for descriptive writing help. Therefore, you will save much precious time. Certainly, you may use online essay examples. However, if you consider them useless, you should order a properly written and well-organized paper from a reliable company. We have experienced writers who can provide you with an outstanding subjective descriptive essay. They are skilled and hard-working and always strive to complete papers on time. Moreover, our specialists hold Master’s and PhD degrees. If you order an essay from us, you will get an authentic work, as we write papers from scratch. With us, you will achieve A-level results. You just need to provide detailed directions while filling in the order form. Our professional team will help you achieve academic excellence!
How can literary devices and language means be used to engage readers in a descriptive essay?",ultrachat,chat
"A few friends are making a small movie.  They hire a few actors and that cost $1200.  They also get food for the 50 people there.  Each person gets $3 worth of food.  Equipment rental costs twice as much as food and actors combined.  They sold the movie for $10,000.  How much profit did they make?",gsm8k,math
"Today, John went to the coffee shop. Between what times could they have gone?
We know that:
John woke up at 5am.
David saw John sitting on a rooftop from 5am to 8am.
Sean saw John watching a movie at the theater from 8am to 11am.
Tiffany saw John stretching at a yoga studio from 4pm to 5pm.
Michael saw John buying a phone at the electronics store from 5pm to 7pm.
The coffee shop was closed after 7pm.
Between what times could John have gone to the coffee shop?
Options:
(A) 5am to 8am
(B) 8am to 11am
(C) 5pm to 7pm
(D) 11am to 4pm",bbh,reasoning
Write a function to count those characters which have vowels as their neighbors in the given string.,mbpp,coding
An adult panda can eat 138 pounds of bamboo each day. A baby panda can eat 50 pounds of bamboo a day.  How many pounds of bamboo will the pandas eat in a week?,gsm8k,math
"Aryan owes Fernanda $1200, which is twice what Kyro owes Fernanda. Aryan decides to pay 60% of her debt to Fernanda, and Kyro pays Fernanda 80% of her dept. If Fernanda had $300 in her savings account and adds the money she's been paid by her debtors to the savings account, calculate the total amount of money in her savings account now.",gsm8k,math
"
def hex_key(num):
    """"""You have been tasked to write a function that receives 
    a hexadecimal number as a string and counts the number of hexadecimal 
    digits that are primes (prime number, or a prime, is a natural number 
    greater than 1 that is not a product of two smaller natural numbers).
    Hexadecimal digits are 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F.
    Prime numbers are 2, 3, 5, 7, 11, 13, 17,...
    So you have to determine a number of the following digits: 2, 3, 5, 7, 
    B (=decimal 11), D (=decimal 13).
    Note: you may assume the input is always correct or empty string, 
    and symbols A,B,C,D,E,F are always uppercase.
    Examples:
    For num = ""AB"" the output should be 1.
    For num = ""1077E"" the output should be 2.
    For num = ""ABED1A33"" the output should be 4.
    For num = ""123456789ABCDEF0"" the output should be 6.
    For num = ""2020"" the output should be 2.
    """"""
",humaneval,coding
"""Create a visually appealing social media post with a catchy caption to promote our new menu item. Please use at least one high-quality photo of the item, and include its name, description, and price. The post should be optimized for Instagram, and the caption should include relevant hashtags and a call-to-action encouraging followers to try the new item.""",ultrachat,chat
"After complaints from the residents of Tatoosh about the number of cats on the island, the wildlife service carried out a relocation mission that saw the number of cats on the island drastically reduced. On the first relocation mission, 600 cats were relocated from the island to a neighboring island. On the second mission, half of the remaining cats were relocated to a rescue center inland. If the number of cats originally on the island was 1800, how many cats remained on the island after the rescue mission?",gsm8k,math
"Read the passage below and answer the question or follow the instruction: Can you tell me about Katie Price's decision to run the London Marathon?

Passage: KATIE Price is running the London Marathon dressed as a giant LUNG, The Sun Online can reveal.
The model is taking part in the event and will be wearing a huge lung costume to compete in the race on 22 April.
Katie has vowed to complete the 26 miles to raise money for the British Lung Foundation, who have supported her terminally ill mum Amy.
“Katie’s throwing herself into the race and has commissioned a lung costume from the guy who makes all the incredible costumes for her book launches,” says our insider.
“She’s actually got two and her friend Jo is running as the other lung.
“Katie’s really throwing herself into the race and wants to raise as much cash and awareness for the charity as she can.
The 39-year-old was left devastated last year when her mum Amy, 64, was diagnosed with idiopathic pulmonary fibrosis (IPF) and was given just years to live.
Since her mum’s shock diagnosis, the TV star and the Price family have come together to raise awareness of a disease many have never heard of and to tackle IPF head on.
IPF is a condition that causes progressive scarring of the lungs making it more difficult to breathe. Sadly, there is no cure yet for IPF. Almost half of patients living with the condition will not survive for more than three years after diagnosis.
Speaking about her decision to take on the challenge, Katie, who has spoken openly about her mum’s condition, said: “My mum means the world to me and the news of her diagnosis was a huge shock.
“I am proud to be running the London marathon to raise awareness and vital funds for the British Lung Foundation. One in five people in the UK are affected by lung disease and millions more are at risk.
“Running 26 miles may seem like a big challenge, but it is nothing compared to what my mum and others living with IPF and other lung conditions go through every day”.
Katie hopes her marathon efforts will increase awareness of lung disease and help the BLF raise vital funds specifically into IPF research and support.
Katie previously completed the marathon in 2009 alongside then husband Peter Andre, but pulled out in 2010 and 2011 due to a knee injury.
Friends of the model revealed to The Sun Online that Katie had been struggling to train because of her recent facelift.",ultrachat,chat
"Marketing Associate - Marketing Strategy & CommunicationsThis position supports a team of marketers with various concentrations. You will be exposed to a wide-range of projects involving but not limited to design, campaign development, social media, internal communications, advertising and public relations.Client services/property marketing supportSupport team members in the development of property marketing strategies creative process for campaign development. Partner with marketing leads to secure vendors, develop copy and other tasks related to strategy deployment. Articulate artistic direction for design, assist in the implementation and tracking of marketing plans and budgets, including timelines, objectives, marketing elements, costs, resources, media buys, etc. Management of multiple projects simultaneously with minimal direction to the satisfaction of all stakeholders.Act as project liaison on a large variety of marketing activities including brochure development, direct mail campaigns, presentations, special projects, etc. With the internal graphics team or outside vendors. Internal CommunicationsWrite/proof/edit executive communications and corporate announcementsAssist in planning and execution of internal events and programsTrack and establish reporting for internal communications programEvent ManagementAssist with invitation response tracking and pre-event logisticsOn site coverage at time of event for Property Marketing broker events as needed (~3 events/month)On site coverage at time of event for client events; RSVP tracking, invitation list updates, budget managementOn site coverage for employee holiday party and other internal events; RSVP managementInvoicing, budget administration, team operationsAssist Marketing Strategy lead with creation of budget documents and monthly reconciliation of GL reportsProcess and track all internal Marketing & Property Marketing invoicesCreate advertising calendar, tracking JLL ad spend and creativeProvide copy writing, logistics and other support to strategic campaignsManage marketing distribution listsCoordinate internal head shot photo shoots, manage and organize head shot libraryProvide ongoing support of marketing team as neededIdeal Candidate:Two to four years of marketing experience, or related experience, preferably in commercial real estate or other service industriesOutstanding project management skillsExcels in a fast-paced work environmentTeam player with a positive attitudeTakes initiative and is eager to share or implement ideas to improve existing programs and processesExcellent written and verbal communication skillsUnderstanding of and commitment to superior client service (internally and externally)Ability to work with tight deadlines in a team environment and juggle multiple projects simultaneouslyBachelor's degree preferably in marketing, or communicationsKnowledge of InDesign, MS Word, PowerPoint, Excel required#LIJLL Privacy StatementWhen you visit JLL websites, JLL may collect information related to those visits, without you actively sending that information. This information may include, for example, the internet browser you are using, your access device's operating system, the language in which that system presents information to you, your IP (Internet Protocol) address, the web search that took you to the JLL website, the web pages and advertisements displayed to you, and the links you click on.For additional details please see JLL's Global Privacy Statement or our career site pages for each country.For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here. Can you provide a summary of the responsibilities and requirements of the Marketing Associate role, particularly with regard to project management, client services, and internal communications?",ultrachat,chat
"Read the passage below and answer the question or follow the instruction: How will the U.S. Vet which members of the opposition will make reliable partners for receiving weapons?

Passage: In a reversal of long-standing U.S. Policy, the Obama administration moved Thursday to provide direct military support, including small arms and ammunition, to Syrian rebels.
The development came after U.S. Intelligence determined that President Bashar al-Assad has used chemical weapons against rebel forces on at least four occasions. In a statement, Deputy National Security Adviser Ben Rhodes said that an estimated 100 to 150 Syrians have been killed in attacks using sarin gas.
“The president has said that the use of chemical weapons would change his calculus, and it has,” Rhodes said.
Until now, the White House has kept its intervention in Syria limited, providing roughly $515 million in humanitarian assistance to the opposition, such as food and medicine. But extending support beyond nonlethal aid has proved complicated. As FRONTLINE reported in The Battle for Syria, rebels in the country have grown increasingly Islamist and extreme, prompting concern within the administration that U.S. Weapons could fall into the wrong hands.
The challenge ahead will be preventing such a scenario, a task most experts believe will be difficult if not impossible.
Initial arms shipments — which The Washington Post reported will be handled by the CIA — are expected to begin in a matter of weeks. That provides the U.S. With a small window to vet which members of the opposition will make reliable partners.
The U.S. Has ways to track its weapons in Syria, but no option is perfect. Serial numbers, for example, can be easily removed. The same goes for digital geo-trackers that can be attached to guns. Certain weapons can be equipped with safeties that require a user’s hand or palm print to unlock it, but the technology is costly and largely impractical for a battlefield setting.",ultrachat,chat
"At a gym, the blue weights are 2 pounds each, and the green weights are 3 pounds each. Harry put 4 blue weights and 5 green weights onto a metal bar. The bar itself weighs 2 pounds. What is the total amount of weight, in pounds, of Harry's custom creation?",gsm8k,math
"Justin can run 2 blocks in 1.5 minutes. If he is 8 blocks from home, in how many minutes can he run home?",gsm8k,math
"John decides to get a new phone number and it ends up being a recycled number.  He used to get 20 text messages a day.  Now he is getting 55.  Assuming the number of texts his friends send has not changed, how many text messages per week is he getting that are not intended for him?",gsm8k,math
"Today, Jason went to the basketball court. Between what times could they have gone?
We know that:
Jason woke up at 8am.
Hannah saw Jason fixing their computer at the electronic store from 8am to 10am.
Sarah saw Jason buying clothes at the mall from 10am to 11am.
Thomas saw Jason walking in the garden from 11am to 3pm.
Linda saw Jason sitting on a rooftop from 3pm to 7pm.
Mark saw Jason walking towards the Statue of Liberty from 7pm to 9pm.
The basketball court was closed after 10pm.
Between what times could Jason have gone to the basketball court?
Options:
(A) 3pm to 7pm
(B) 8am to 10am
(C) 9pm to 10pm
(D) 10am to 11am",bbh,reasoning
"Write a 3-act play about a family crisis caused by a severe financial problem, using a realistic style and incorporating themes of forgiveness and redemption in the resolution.",ultrachat,chat
"Today, Leslie went to the beach. Between what times could they have gone?
We know that:
Leslie woke up at 7am.
Ashley saw Leslie stretching at a yoga studio from 7am to 9am.
Andrew saw Leslie playing tennis at the tennis court from 9am to 11am.
Jason saw Leslie walking towards the Statue of Liberty from 11am to 4pm.
The beach was closed after 8pm.
Between what times could Leslie have gone to the beach?
Options:
(A) 9am to 11am
(B) 4pm to 8pm
(C) 7am to 9am
(D) 11am to 4pm",bbh,reasoning
"For his birthday, Geoffrey received clothes and money. His grandmother gave him €20, his aunt €25 and his uncle €30. With what he already had, he now has €125 in his wallet. He goes to a video game store and gets 3 games that cost 35 euros each. How much does he have left after this purchase?",gsm8k,math
"Today, Nancy went to the bookstore. Between what times could they have gone?
We know that:
Nancy woke up at 8am.
Jennifer saw Nancy buying cookies at a bakery from 8am to 9am.
William saw Nancy taking photos near the Eiffel Tower from 9am to 12pm.
Mary saw Nancy playing tennis at the tennis court from 12pm to 2pm.
The bookstore was closed after 9pm.
Between what times could Nancy have gone to the bookstore?
Options:
(A) 12pm to 2pm
(B) 8am to 9am
(C) 2pm to 9pm
(D) 9am to 12pm",bbh,reasoning
"

def triangle_area(a, h):
    """"""Given length of a side and high return area for a triangle.
    >>> triangle_area(5, 3)
    7.5
    """"""
",humaneval,coding
